ProductID,BuyerID,PurchaseDate
1,1,2023-01-10
2,3,2023-01-11
3,2,2023-01-12
4,4,2023-01-13
5,5,2023-01-14
1,2,2023-01-15
2,4,2023-01-16
3,6,2023-01-17
4,7,2023-01-18
5,8,2023-01-19
6,1,2023-01-20
7,2,2023-01-21
8,3,2023-01-22
9,4,2023-01-23
10,5,2023-01-24
1,6,2023-01-25
2,7,2023-01-26
3,8,2023-01-27
4,9,2023-01-28
5,10,2023-01-29
6,1,2023-01-30
7,2,2023-01-31
8,3,2023-02-01
9,4,2023-02-02
10,5,2023-02-03
1,6,2023-02-04
2,7,2023-02-05
3,8,2023-02-06
4,9,2023-02-07
5,10,2023-02-08
